video_name,collector_name,material,full_path,duration,download_link
0_2023-08-21 13_31_45.3030_Subway+grate.MOV,jiawei_testbed,subway_grate,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_31_45.3030_Subway+grate.MOV,59.85,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_31_45.3030_Subway+grate.mp4
0_2023-08-21 13_25_10.3210_Manhole.MOV,jiawei_testbed,manhole,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_25_10.3210_Manhole.MOV,5.6,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_25_10.3210_Manhole.mp4
1_2023-08-21 13_31_45.3030_Subway+grate.MOV,jiawei_testbed,subway_grate,10_3_2023_all_data/testbed/user_data/jiawei_testbed/1_2023-08-21 13_31_45.3030_Subway+grate.MOV,3.2,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/1_2023-08-21 13_31_45.3030_Subway+grate.mp4
0_2023-08-21 13_35_23.4820_Cellar+door.MOV,jiawei_testbed,cellar_door,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_35_23.4820_Cellar+door.MOV,9.37,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_35_23.4820_Cellar+door.mp4
0_2023-08-21 13_24_23.9400_Manhole.MOV,jiawei_testbed,manhole,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_24_23.9400_Manhole.MOV,7.4,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_24_23.9400_Manhole.mp4
0_2023-08-21 13_33_30.0860_Cellar+door.MOV,jiawei_testbed,cellar_door,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_33_30.0860_Cellar+door.MOV,25.09,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_33_30.0860_Cellar+door.mp4
0_2023-08-21 13_48_50.1830_Cellar+door.MOV,jiawei_testbed,cellar_door,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_48_50.1830_Cellar+door.MOV,15.36,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_48_50.1830_Cellar+door.mp4
0_2023-08-21 13_26_21.3930_Manhole.MOV,jiawei_testbed,manhole,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_26_21.3930_Manhole.MOV,15.46,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_26_21.3930_Manhole.mp4
0_2023-08-21 13_39_40.1140_Tactile.MOV,jiawei_testbed,tactile,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_39_40.1140_Tactile.MOV,13.36,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_39_40.1140_Tactile.mp4
0_2023-08-21 13_26_45.3270_Manhole.MOV,jiawei_testbed,manhole,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_26_45.3270_Manhole.MOV,15.7,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_26_45.3270_Manhole.mp4
0_2023-08-21 13_51_29.1970_Tactile.MOV,jiawei_testbed,tactile,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_51_29.1970_Tactile.MOV,8.7,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_51_29.1970_Tactile.mp4
0_2023-08-21 13_25_56.0970_Manhole.MOV,jiawei_testbed,manhole,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_25_56.0970_Manhole.MOV,6.1,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_25_56.0970_Manhole.mp4
0_2023-08-21 13_24_55.1090_Manhole.MOV,jiawei_testbed,manhole,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_24_55.1090_Manhole.MOV,6.87,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_24_55.1090_Manhole.mp4
2_2023-08-21 13_27_53.9730_Subway+grate.MOV,jiawei_testbed,subway_grate,10_3_2023_all_data/testbed/user_data/jiawei_testbed/2_2023-08-21 13_27_53.9730_Subway+grate.MOV,30.03,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/2_2023-08-21 13_27_53.9730_Subway+grate.mp4
0_2023-08-21 13_47_34.0440_Cellar+door.MOV,jiawei_testbed,cellar_door,10_3_2023_all_data/testbed/user_data/jiawei_testbed/0_2023-08-21 13_47_34.0440_Cellar+door.MOV,34.96,https://storage.googleapis.com/labelbox-sidewalk-legacy-data-static/0_2023-08-21 13_47_34.0440_Cellar+door.mp4
