video_name,year,duration_sec,download_link
0_2024-07-30 13:58:08.8070_none.mp4,2024,59.66666666666666,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 13:58:08.8070_none.mp4
1_2024-07-30 14:31:25.7160_none.mp4,2024,2.3023023023023024,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:31:25.7160_none.mp4
0_2024-07-30 13:44:48.1470_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 13:44:48.1470_none.mp4
0_2024-07-30 14:46:11.7440_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:46:11.7440_none.mp4
0_2024-07-30 13:51:36.5870_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 13:51:36.5870_none.mp4
1_2024-07-30 14:43:24.2540_none.mp4,2024,0.7333333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:43:24.2540_none.mp4
5_2024-07-30 14:14:37.7750_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/5_2024-07-30 14:14:37.7750_none.mp4
1_2024-07-30 13:50:15.2240_none.mp4,2024,4.833333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 13:50:15.2240_none.mp4
0_2024-07-30 13:32:16.8560_none.mp4,2024,59.96666666666667,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 13:32:16.8560_none.mp4
0_2024-07-30 14:25:25.7220_none.mp4,2024,42.56666666666667,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:25:25.7220_none.mp4
3_2024-07-31 12:05:51.3060_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/3_2024-07-31 12:05:51.3060_none.mp4
2_2024-07-31 12:47:57.9700_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/2_2024-07-31 12:47:57.9700_none.mp4
1_2024-07-30 13:52:57.6700_none.mp4,2024,0.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 13:52:57.6700_none.mp4
8_2024-07-30 14:14:37.7750_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/8_2024-07-30 14:14:37.7750_none.mp4
